time,value
m 51,1.15E+04
m 52,1.32E+04
m 53,1.47E+04
m 54,1.88E+04
m 55,2.31E+04
m 56,2.17E+04
m 57,1.82E+04
m 58,1.62E+04
m 59,1.78E+04
m  0,2.13E+04
Sat,2.07E+04
Jul,1.89E+04
3,2.02E+04
2004,2.62E+04
d185,2.85E+04
JD 2,2.74E+04
4531,2.47E+04
89.5,2.39E+04
68,2.51E+04
h  6,2.67E+04
m 11,2.43E+04
m 12,2.56E+04
m 13,2.74E+04
m 14,2.44E+04
m 15,2.60E+04
m 16,2.45E+04
m 17,2.29E+04
m 18,2.86E+04
m 19,2.73E+04
m 20,1.82E+04
Sat,2.09E+04
Jul,2.92E+04
3,3.03E+04
2004,2.74E+04
d185,2.46E+04
JD 2,2.17E+04
4531,2.22E+04
89.5,2.45E+04
68,2.72E+04
h  6,2.45E+04
m 31,1.75E+04
m 32,1.44E+04
m 33,1.33E+04
m 34,2.15E+04
m 35,2.79E+04
m 36,2.87E+04
m 37,3.15E+04
m 38,3.02E+04
m 39,2.97E+04
m 40,2.87E+04
Sat,2.77E+04
Jul,2.76E+04
3,2.91E+04
2004,2.96E+04
d185,2.64E+04
JD 2,2.23E+04
4531,2.45E+04
89.5,2.86E+04
68,3.17E+04
h  6,3.14E+04
m 51,2.83E+04
m 52,2.69E+04
m 53,2.67E+04
m 54,2.88E+04
m 55,2.65E+04
m 56,2.31E+04
m 57,2.62E+04
m 58,3.12E+04
m 59,3.12E+04
m  0,2.87E+04
Sat,2.84E+04
Jul,3.16E+04
3,3.74E+04
2004,3.95E+04
d185,3.77E+04
JD 2,3.43E+04
4531,3.50E+04
89.5,3.47E+04
68,3.63E+04
h  7,3.48E+04
m 11,3.31E+04
m 12,3.33E+04
m 13,3.37E+04
m 14,3.68E+04
m 15,3.80E+04
m 16,3.88E+04
m 17,3.74E+04
m 18,3.92E+04
m 19,3.51E+04
m 20,3.94E+04
Sat,4.23E+04
Jul,3.45E+04
3,3.20E+04
2004,3.37E+04
d185,3.54E+04
JD 2,3.81E+04
4531,3.71E+04
89.5,3.40E+04
68,2.81E+04
h  7,2.91E+04
m 31,3.90E+04
m 32,3.98E+04
m 33,3.60E+04
m 34,4.00E+04
m 35,3.93E+04
m 36,3.74E+04
m 37,3.46E+04
m 38,3.21E+04
m 39,3.22E+04
m 40,3.07E+04
Sat,2.83E+04
Jul,2.15E+04
3,1.82E+04
2004,1.99E+04
d185,2.62E+04
JD 2,3.65E+04
4531,4.43E+04
89.5,4.53E+04
68,3.92E+04
h  7,3.68E+04
m 51,3.70E+04
m 52,3.69E+04
